yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD),normalized_nominal_fare,normalized_real_fare
2023-Sep,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,720,724,0.45345744680851063,0.42378241619228335
2023-Sep,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,734,738,0.4627659574468085,0.43263757115749524
2023-Sep,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,711,715,0.4474734042553192,0.41808981657179
2023-Sep,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,133,134,0.06316489361702128,0.05060088551549652
2023-Sep,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,154,155,0.07712765957446809,0.06388361796331436
2023-Sep,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,174,175,0.09042553191489362,0.07653383934218849
2023-Sep,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,448,451,0.2726063829787234,0.2511068943706515
2023-Sep,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,181,182,0.09507978723404255,0.08096141682479444
2023-Sep,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,628,632,0.39228723404255317,0.3655913978494624
2023-Oct,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,727,734,0.45811170212765956,0.43010752688172044
2023-Oct,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,318,321,0.18617021276595744,0.16888045540796964
2023-Oct,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,528,533,0.3257978723404255,0.3029728020240354
2023-Oct,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,481,486,0.2945478723404255,0.2732447817836812
2023-Oct,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,200,202,0.1077127659574468,0.09361163820366857
